編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLQKKHJGFBB08CB,乾溝子段,35.87,都市：住,100000,2992,持分移轉,01300005
RPSNMLOKKHJGFAB37CB,大慶段,28.44,都市：住,10000,86,持分移轉,02420000
RPPNMLOKKHJGFBB17CB,碧柳段,4.21,都市：商,100000,171,持分移轉,02930000
RPPNMLOKKHJGFBB17CB,碧柳段,3.13,都市：商,100000,171,持分移轉,02990000
RPPNMLOKKHJGFBB17CB,碧柳段,6.84,都市：商,100000,171,持分移轉,03000000
RPRNMLOKKHJGFAB27CB,大慶段,28.44,都市：住,10000,86,持分移轉,02420000
RPSNMLPKKHJGFBB57CB,景福段,2.08,都市：商,100000,98,持分移轉,01160000
RPSNMLPKKHJGFBB57CB,景福段,2.65,都市：商,100000,98,持分移轉,01170000
RPSNMLPKKHJGFBB57CB,景福段,2.49,都市：商,100000,98,持分移轉,01180000
RPSNMLPKKHJGFBB57CB,景福段,2.21,都市：商,100000,98,持分移轉,01190000
RPSNMLPKKHJGFBB57CB,景福段,2.28,都市：商,100000,98,持分移轉,01200000
RPSNMLPKKHJGFBB57CB,景福段,1.96,都市：商,100000,98,持分移轉,01210000
RPSNMLPKKHJGFBB57CB,景福段,1.96,都市：商,100000,98,持分移轉,01220000
RPSNMLPKKHJGFBB57CB,景福段,2.40,都市：商,100000,98,持分移轉,01230000
RPSNMLPKKHJGFBB57CB,景福段,2.18,都市：商,100000,98,持分移轉,01240000
RPQOMLPKKHJGFBB47CB,敦和段,45.73,都市：住,100000,673,持分移轉,00610000
RPVOMLQKKHJGFBB08CB,敦和段,29.74,都市：住,100000,2443,持分移轉,02530000
RPUNMLPKKHJGFBB77CB,景福段,2.84,都市：商,100000,134,持分移轉,01160000
RPUNMLPKKHJGFBB77CB,景福段,3.62,都市：商,100000,134,持分移轉,01170000
RPUNMLPKKHJGFBB77CB,景福段,3.41,都市：商,100000,134,持分移轉,01180000
RPUNMLPKKHJGFBB77CB,景福段,3.02,都市：商,100000,134,持分移轉,01190000
RPUNMLPKKHJGFBB77CB,景福段,3.11,都市：商,100000,134,持分移轉,01200000
RPUNMLPKKHJGFBB77CB,景福段,2.68,都市：商,100000,134,持分移轉,01210000
RPUNMLPKKHJGFBB77CB,景福段,2.68,都市：商,100000,134,持分移轉,01220000
RPUNMLPKKHJGFBB77CB,景福段,3.28,都市：商,100000,134,持分移轉,01230000
RPUNMLPKKHJGFBB77CB,景福段,2.98,都市：商,100000,134,持分移轉,01240000
RPOOMLQKKHJGFBB37CB,景福段,2.84,都市：商,100000,134,持分移轉,01160000
RPOOMLQKKHJGFBB37CB,景福段,3.62,都市：商,100000,134,持分移轉,01170000
RPOOMLQKKHJGFBB37CB,景福段,3.41,都市：商,100000,134,持分移轉,01180000
RPOOMLQKKHJGFBB37CB,景福段,3.02,都市：商,100000,134,持分移轉,01190000
RPOOMLQKKHJGFBB37CB,景福段,3.11,都市：商,100000,134,持分移轉,01200000
RPOOMLQKKHJGFBB37CB,景福段,2.68,都市：商,100000,134,持分移轉,01210000
RPOOMLQKKHJGFBB37CB,景福段,2.68,都市：商,100000,134,持分移轉,01220000
RPOOMLQKKHJGFBB37CB,景福段,3.28,都市：商,100000,134,持分移轉,01230000
RPOOMLQKKHJGFBB37CB,景福段,2.98,都市：商,100000,134,持分移轉,01240000
RPRNMLPKKHJGFBB47CB,景福段,3.06,都市：商,100000,144,持分移轉,01160000
RPRNMLPKKHJGFBB47CB,景福段,3.89,都市：商,100000,144,持分移轉,01170000
RPRNMLPKKHJGFBB47CB,景福段,3.66,都市：商,100000,144,持分移轉,01180000
RPRNMLPKKHJGFBB47CB,景福段,3.24,都市：商,100000,144,持分移轉,01190000
RPRNMLPKKHJGFBB47CB,景福段,3.34,都市：商,100000,144,持分移轉,01200000
RPRNMLPKKHJGFBB47CB,景福段,2.88,都市：商,100000,144,持分移轉,01210000
RPRNMLPKKHJGFBB47CB,景福段,2.88,都市：商,100000,144,持分移轉,01220000
RPRNMLPKKHJGFBB47CB,景福段,3.53,都市：商,100000,144,持分移轉,01230000
RPRNMLPKKHJGFBB47CB,景福段,3.20,都市：商,100000,144,持分移轉,01240000
RPOOMLQKKHJGFCB47CB,惠民段,11.47,都市：其他:第六種新市政中心專用區,100000,286,持分移轉,00140000
RPXOMLQKKHJGFBB28CB,敦和段,50.22,都市：住,100000,739,持分移轉,00610000
RPQNMLQKKHJGFDB67CB,文化段,26.33,都市：住,100000,806,持分移轉,00940000
RPWNMLRKKHJGFAB08CB,樹子腳段,18.69,都市：住,100000,3775,持分移轉,00070000
RPXNMLQKKHJGFCB28CB,惠民段,13.96,都市：其他:第六種新市政中心專用區,100000,348,持分移轉,00140000
RPPNMLRKKHJGFAB37CB,頂橋子頭段,23.70,都市：住,100000,755,持分移轉,00100000
RPOOMLRKKHJGFAB37CB,大慶段,45.96,都市：住,10000,139,持分移轉,02420000
RPRNMLQKKHJGFDB77CB,文化段,27.44,都市：住,100000,840,持分移轉,00940000
RPXNMLRKKHJGFAB18CB,樹子腳段,18.69,都市：住,100000,3775,持分移轉,00070000
RPQNMLRKKHJGFKB48CB,龍新段,38.04,都市：住,100000,904,持分移轉,00860000
RPSPMLRKKHJGFCB08CB,廣昌段,63.08,都市：農,1,1,全筆移轉,00880020
RPSPMLRKKHJGFCB08CB,廣昌段,6.52,都市：農,88,1,持分移轉,00940000
RPSPMLRKKHJGFCB08CB,廣昌段,.93,都市：農,29,1,持分移轉,00880035
RPSPMLRKKHJGFCB08CB,廣昌段,3.02,都市：農,29,1,持分移轉,00880036
RPSPMLRKKHJGFCB08CB,廣昌段,19.13,都市：農,19,1,持分移轉,00880037
RPPNMLSKKHJGFFB97CB,鹿峰東段,31.01,都市：住,100000,604,持分移轉,17340000
RPRNMLSKKHJGFBB77CB,敦和段,45.73,都市：住,100000,673,持分移轉,00610000
RPPNMLSKKHJGFHB18CB,學雅段,26.01,都市：住,100000,3137,持分移轉,03180000
RPPNMLTKKHJGFAB57CB,大慶段,45.96,都市：住,10000,139,持分移轉,02420000
RPPNMLSKKHJGFJB38CB,東和段,44.10,都市：住,1,1,全筆移轉,09680017
RPPNMLSKKHJGFJB38CB,東和段,8.67,都市：住,41,2,持分移轉,09680000
RPPNMLSKKHJGFJB38CB,東和段,6.29,都市：住,41,2,持分移轉,09680027
RPPNMLSKKHJGFJB38CB,東和段,7.13,都市：住,41,2,持分移轉,09680031
RPTNMLTKKHJGFAB97CB,仁愛段一小段,14.05,都市：商,10000,247,持分移轉,00010007
RPTNMLTKKHJGFAB97CB,中華段一小段,1.51,都市：商,10000,247,持分移轉,00060003
RPUNMLTKKHJGFAB08CB,仁愛段一小段,14.68,都市：商,10000,258,持分移轉,00010007
RPUNMLTKKHJGFAB08CB,中華段一小段,1.57,都市：商,10000,258,持分移轉,00060003
RPOPMLRKKHJGFCB67CB,廣昌段,65.49,都市：農,1,1,全筆移轉,00880010
RPOPMLRKKHJGFCB67CB,廣昌段,6.52,都市：農,88,1,持分移轉,00940000
RPOPMLRKKHJGFCB67CB,廣昌段,.93,都市：農,29,1,持分移轉,00880035
RPOPMLRKKHJGFCB67CB,廣昌段,3.02,都市：農,29,1,持分移轉,00880036
RPWNMLTKKHJGFBB38CB,碧柳段,2.98,都市：商,100000,121,持分移轉,02930000
RPWNMLTKKHJGFBB38CB,碧柳段,2.21,都市：商,100000,121,持分移轉,02990000
RPSNMLTKKHJGFBB97CB,美和段,15.22,都市：住,100000,1106,持分移轉,03550000
RPWNMLTKKHJGFBB38CB,碧柳段,4.84,都市：商,100000,121,持分移轉,03000000
RPSNMLTKKHJGFBB97CB,美和段,30.39,都市：住,100000,1106,持分移轉,03560000
RPOOMLTKKHJGFBB67CB,碧柳段,3.15,都市：商,100000,128,持分移轉,02930000
RPOOMLTKKHJGFBB67CB,碧柳段,2.34,都市：商,100000,128,持分移轉,02990000
RPOOMLTKKHJGFBB67CB,碧柳段,5.12,都市：商,100000,128,持分移轉,03000000
RPPOMLTKKHJGFBB77CB,景福段,2.12,都市：商,100000,100,持分移轉,01160000
RPPOMLTKKHJGFBB77CB,景福段,2.70,都市：商,100000,100,持分移轉,01170000
RPPOMLTKKHJGFBB77CB,景福段,2.54,都市：商,100000,100,持分移轉,01180000
RPPOMLTKKHJGFBB77CB,景福段,2.25,都市：商,100000,100,持分移轉,01190000
RPPOMLTKKHJGFBB77CB,景福段,2.32,都市：商,100000,100,持分移轉,01200000
RPPOMLTKKHJGFBB77CB,景福段,2.00,都市：商,100000,100,持分移轉,01210000
RPPOMLTKKHJGFBB77CB,景福段,2.00,都市：商,100000,100,持分移轉,01220000
RPPOMLTKKHJGFBB77CB,景福段,2.45,都市：商,100000,100,持分移轉,01230000
RPPOMLTKKHJGFBB77CB,景福段,2.22,都市：商,100000,100,持分移轉,01240000
RPROMLTKKHJGFBB97CB,景福段,2.84,都市：商,100000,134,持分移轉,01160000
RPROMLTKKHJGFBB97CB,景福段,3.62,都市：商,100000,134,持分移轉,01170000
RPROMLTKKHJGFBB97CB,景福段,3.41,都市：商,100000,134,持分移轉,01180000
RPROMLTKKHJGFBB97CB,景福段,3.02,都市：商,100000,134,持分移轉,01190000
RPROMLTKKHJGFBB97CB,景福段,3.11,都市：商,100000,134,持分移轉,01200000
RPROMLTKKHJGFBB97CB,景福段,2.68,都市：商,100000,134,持分移轉,01210000
RPROMLTKKHJGFBB97CB,景福段,2.68,都市：商,100000,134,持分移轉,01220000
RPROMLTKKHJGFBB97CB,景福段,3.28,都市：商,100000,134,持分移轉,01230000
RPROMLTKKHJGFBB97CB,景福段,2.98,都市：商,100000,134,持分移轉,01240000
RPXOMLTKKHJGFBB58CB,碧柳段,2.61,都市：商,100000,106,持分移轉,02930000
RPXOMLTKKHJGFBB58CB,碧柳段,1.94,都市：商,100000,106,持分移轉,02990000
RPXOMLTKKHJGFBB58CB,碧柳段,4.24,都市：商,100000,106,持分移轉,03000000
RPVOMLTKKHJGFBB38CB,碧柳段,3.96,都市：商,100000,161,持分移轉,02930000
RPUNMLTKKHJGFCB28CB,田心段,18.90,都市：住,1000000,4216,持分移轉,14800000
RPVOMLTKKHJGFBB38CB,碧柳段,2.95,都市：商,100000,161,持分移轉,02990000
RPVOMLTKKHJGFBB38CB,碧柳段,6.44,都市：商,100000,161,持分移轉,03000000
RPSNMLTKKHJGFEB28CB,文化段,30.13,都市：住,1000000,19626,持分移轉,02010000
RPRNMLTKKHJGFFB28CB,慶安段,.20,都市：住,26,1,持分移轉,08290022
RPRNMLTKKHJGFFB28CB,慶安段,7.55,都市：住,10000,675,持分移轉,08290020
RPRNMLTKKHJGFFB28CB,慶安段,42.32,都市：住,1,1,全筆移轉,08290012
RPRNMLTKKHJGFFB28CB,慶安段,14.82,都市：住,11,1,持分移轉,08290021
RPTNMLTKKHJGFFB48CB,平等段,36.72,都市：住,100000,1845,持分移轉,10470000
RPTNMLTKKHJGFJB88CB,樹孝段,28.74,都市：住,100000,752,持分移轉,06580000
RPUNMLKLKHJGFBB37CB,景福段,2.86,都市：商,100000,135,持分移轉,01160000
RPUNMLKLKHJGFBB37CB,景福段,3.65,都市：商,100000,135,持分移轉,01170000
RPUNMLKLKHJGFBB37CB,景福段,3.43,都市：商,100000,135,持分移轉,01180000
RPUNMLKLKHJGFBB37CB,景福段,3.04,都市：商,100000,135,持分移轉,01190000
RPUNMLKLKHJGFBB37CB,景福段,3.13,都市：商,100000,135,持分移轉,01200000
RPUNMLKLKHJGFBB37CB,景福段,2.70,都市：商,100000,135,持分移轉,01210000
RPUNMLKLKHJGFBB37CB,景福段,2.70,都市：商,100000,135,持分移轉,01220000
RPUNMLKLKHJGFBB37CB,景福段,3.31,都市：商,100000,135,持分移轉,01230000
RPUNMLKLKHJGFBB37CB,景福段,3.00,都市：商,100000,135,持分移轉,01240000
RPXOMLKLKHJGFBB77CB,北屯段,16.58,都市：商,10000,157,持分移轉,04030000
RPPOMLKLKHJGFBB96CB,乾溝子段,.97,都市：商,100000,362,持分移轉,00790000
RPPOMLKLKHJGFBB96CB,乾溝子段,.61,都市：商,100000,362,持分移轉,00790002
RPPOMLKLKHJGFBB96CB,乾溝子段,.49,都市：商,100000,362,持分移轉,00790003
RPPOMLKLKHJGFBB96CB,乾溝子段,.53,都市：商,100000,362,持分移轉,00790004
RPPOMLKLKHJGFBB96CB,乾溝子段,2.03,都市：商,100000,362,持分移轉,00790006
RPPOMLKLKHJGFBB96CB,乾溝子段,.15,都市：商,100000,362,持分移轉,00790007
RPPOMLKLKHJGFBB96CB,乾溝子段,.09,都市：商,100000,362,持分移轉,00790008
RPPOMLKLKHJGFBB96CB,乾溝子段,.07,都市：商,100000,362,持分移轉,00790009
RPPOMLKLKHJGFBB96CB,乾溝子段,1.20,都市：商,100000,362,持分移轉,00800000
RPPOMLKLKHJGFBB96CB,乾溝子段,.01,都市：商,100000,362,持分移轉,00800003
RPPOMLKLKHJGFBB96CB,乾溝子段,.75,都市：商,100000,362,持分移轉,00800009
RPPOMLKLKHJGFBB96CB,乾溝子段,1.82,都市：商,100000,362,持分移轉,00820002
RPPOMLKLKHJGFBB96CB,乾溝子段,.17,都市：商,100000,362,持分移轉,00820008
RPPOMLKLKHJGFBB96CB,乾溝子段,.38,都市：商,100000,362,持分移轉,00820010
RPSSMLKLKHJGFBB67CB,碧柳段,2.61,都市：商,100000,106,持分移轉,02930000
RPPOMLKLKHJGFBB96CB,乾溝子段,.06,都市：商,100000,362,持分移轉,00820016
RPSSMLKLKHJGFBB67CB,碧柳段,1.94,都市：商,100000,106,持分移轉,02990000
RPPOMLKLKHJGFBB96CB,乾溝子段,.11,都市：商,100000,362,持分移轉,00820256
RPSSMLKLKHJGFBB67CB,碧柳段,4.24,都市：商,100000,106,持分移轉,03000000
RPPOMLKLKHJGFBB96CB,乾溝子段,.04,都市：商,100000,362,持分移轉,00820257
RPPOMLKLKHJGFBB96CB,乾溝子段,.13,都市：商,100000,362,持分移轉,00820258
RPPOMLKLKHJGFBB96CB,乾溝子段,.07,都市：商,100000,362,持分移轉,00820259
RPSOMLKLKHJGFBB27CB,乾溝子段,.63,都市：商,100000,233,持分移轉,00790000
RPPOMLKLKHJGFBB96CB,乾溝子段,.05,都市：商,100000,362,持分移轉,00820260
RPPOMLKLKHJGFBB96CB,乾溝子段,.07,都市：商,100000,362,持分移轉,00820261
RPSOMLKLKHJGFBB27CB,乾溝子段,.39,都市：商,100000,233,持分移轉,00790002
RPPOMLKLKHJGFBB96CB,乾溝子段,.22,都市：商,100000,362,持分移轉,00820264
RPPOMLKLKHJGFBB96CB,乾溝子段,.60,都市：商,100000,362,持分移轉,00830004
RPSOMLKLKHJGFBB27CB,乾溝子段,.31,都市：商,100000,233,持分移轉,00790003
RPPOMLKLKHJGFBB96CB,乾溝子段,.04,都市：商,100000,362,持分移轉,00830006
RPPOMLKLKHJGFBB96CB,乾溝子段,.25,都市：商,100000,362,持分移轉,00830113
RPSOMLKLKHJGFBB27CB,乾溝子段,.34,都市：商,100000,233,持分移轉,00790004
RPPOMLKLKHJGFBB96CB,乾溝子段,.12,都市：商,100000,362,持分移轉,00830249
RPSOMLKLKHJGFBB27CB,乾溝子段,1.31,都市：商,100000,233,持分移轉,00790006
RPPOMLKLKHJGFBB96CB,乾溝子段,.05,都市：商,100000,362,持分移轉,00830258
RPSOMLKLKHJGFBB27CB,乾溝子段,.10,都市：商,100000,233,持分移轉,00790007
RPSOMLKLKHJGFBB27CB,乾溝子段,.06,都市：商,100000,233,持分移轉,00790008
RPSOMLKLKHJGFBB27CB,乾溝子段,.05,都市：商,100000,233,持分移轉,00790009
RPPOMLKLKHJGFBB96CB,乾溝子段,.02,都市：商,100000,362,持分移轉,00830259
RPSOMLKLKHJGFBB27CB,乾溝子段,.77,都市：商,100000,233,持分移轉,00800000
RPPOMLKLKHJGFBB96CB,乾溝子段,.17,都市：商,100000,362,持分移轉,00830262
RPSOMLKLKHJGFBB27CB,乾溝子段,.01,都市：商,100000,233,持分移轉,00800003
RPPOMLKLKHJGFBB96CB,乾溝子段,.19,都市：商,100000,362,持分移轉,00830263
RPSOMLKLKHJGFBB27CB,乾溝子段,.48,都市：商,100000,233,持分移轉,00800009
RPPOMLKLKHJGFBB96CB,乾溝子段,.01,都市：商,100000,362,持分移轉,00830264
RPSOMLKLKHJGFBB27CB,乾溝子段,1.17,都市：商,100000,233,持分移轉,00820002
RPSOMLKLKHJGFBB27CB,乾溝子段,.11,都市：商,100000,233,持分移轉,00820008
RPROMLKLKHJGFBB17CB,乾溝子段,.83,都市：商,100000,307,持分移轉,00790000
RPROMLKLKHJGFBB17CB,乾溝子段,.52,都市：商,100000,307,持分移轉,00790002
RPROMLKLKHJGFBB17CB,乾溝子段,.41,都市：商,100000,307,持分移轉,00790003
RPROMLKLKHJGFBB17CB,乾溝子段,.45,都市：商,100000,307,持分移轉,00790004
RPROMLKLKHJGFBB17CB,乾溝子段,1.73,都市：商,100000,307,持分移轉,00790006
RPROMLKLKHJGFBB17CB,乾溝子段,.13,都市：商,100000,307,持分移轉,00790007
RPROMLKLKHJGFBB17CB,乾溝子段,.08,都市：商,100000,307,持分移轉,00790008
RPSOMLKLKHJGFBB27CB,乾溝子段,.25,都市：商,100000,233,持分移轉,00820010
RPROMLKLKHJGFBB17CB,乾溝子段,.06,都市：商,100000,307,持分移轉,00790009
RPROMLKLKHJGFBB17CB,乾溝子段,1.02,都市：商,100000,307,持分移轉,00800000
RPSOMLKLKHJGFBB27CB,乾溝子段,.04,都市：商,100000,233,持分移轉,00820016
RPROMLKLKHJGFBB17CB,乾溝子段,.01,都市：商,100000,307,持分移轉,00800003
RPROMLKLKHJGFBB17CB,乾溝子段,.64,都市：商,100000,307,持分移轉,00800009
RPSOMLKLKHJGFBB27CB,乾溝子段,.07,都市：商,100000,233,持分移轉,00820256
RPROMLKLKHJGFBB17CB,乾溝子段,1.54,都市：商,100000,307,持分移轉,00820002
RPROMLKLKHJGFBB17CB,乾溝子段,.14,都市：商,100000,307,持分移轉,00820008
RPSOMLKLKHJGFBB27CB,乾溝子段,.03,都市：商,100000,233,持分移轉,00820257
RPROMLKLKHJGFBB17CB,乾溝子段,.33,都市：商,100000,307,持分移轉,00820010
RPSOMLKLKHJGFBB27CB,乾溝子段,.08,都市：商,100000,233,持分移轉,00820258
RPROMLKLKHJGFBB17CB,乾溝子段,.05,都市：商,100000,307,持分移轉,00820016
RPSOMLKLKHJGFBB27CB,乾溝子段,.04,都市：商,100000,233,持分移轉,00820259
RPROMLKLKHJGFBB17CB,乾溝子段,.09,都市：商,100000,307,持分移轉,00820256
RPSOMLKLKHJGFBB27CB,乾溝子段,.03,都市：商,100000,233,持分移轉,00820260
RPROMLKLKHJGFBB17CB,乾溝子段,.04,都市：商,100000,307,持分移轉,00820257
RPSOMLKLKHJGFBB27CB,乾溝子段,.04,都市：商,100000,233,持分移轉,00820261
RPSOMLKLKHJGFBB27CB,乾溝子段,.14,都市：商,100000,233,持分移轉,00820264
RPROMLKLKHJGFBB17CB,乾溝子段,.11,都市：商,100000,307,持分移轉,00820258
RPSOMLKLKHJGFBB27CB,乾溝子段,.39,都市：商,100000,233,持分移轉,00830004
RPSOMLKLKHJGFBB27CB,乾溝子段,.02,都市：商,100000,233,持分移轉,00830006
RPROMLKLKHJGFBB17CB,乾溝子段,.06,都市：商,100000,307,持分移轉,00820259
RPSOMLKLKHJGFBB27CB,乾溝子段,.16,都市：商,100000,233,持分移轉,00830113
RPSOMLKLKHJGFBB27CB,乾溝子段,.07,都市：商,100000,233,持分移轉,00830249
RPROMLKLKHJGFBB17CB,乾溝子段,.04,都市：商,100000,307,持分移轉,00820260
RPSOMLKLKHJGFBB27CB,乾溝子段,.03,都市：商,100000,233,持分移轉,00830258
RPROMLKLKHJGFBB17CB,乾溝子段,.06,都市：商,100000,307,持分移轉,00820261
RPSOMLKLKHJGFBB27CB,乾溝子段,.01,都市：商,100000,233,持分移轉,00830259
RPROMLKLKHJGFBB17CB,乾溝子段,.18,都市：商,100000,307,持分移轉,00820264
RPROMLKLKHJGFBB17CB,乾溝子段,.51,都市：商,100000,307,持分移轉,00830004
RPSOMLKLKHJGFBB27CB,乾溝子段,.11,都市：商,100000,233,持分移轉,00830262
RPROMLKLKHJGFBB17CB,乾溝子段,.03,都市：商,100000,307,持分移轉,00830006
RPSOMLKLKHJGFBB27CB,乾溝子段,.12,都市：商,100000,233,持分移轉,00830263
RPROMLKLKHJGFBB17CB,乾溝子段,.21,都市：商,100000,307,持分移轉,00830113
RPSOMLKLKHJGFBB27CB,乾溝子段,.01,都市：商,100000,233,持分移轉,00830264
RPROMLKLKHJGFBB17CB,乾溝子段,.10,都市：商,100000,307,持分移轉,00830249
RPROMLKLKHJGFBB17CB,乾溝子段,.04,都市：商,100000,307,持分移轉,00830258
RPROMLKLKHJGFBB17CB,乾溝子段,.02,都市：商,100000,307,持分移轉,00830259
RPROMLKLKHJGFBB17CB,乾溝子段,.15,都市：商,100000,307,持分移轉,00830262
RPROMLKLKHJGFBB17CB,乾溝子段,.16,都市：商,100000,307,持分移轉,00830263
RPROMLKLKHJGFBB17CB,乾溝子段,.01,都市：商,100000,307,持分移轉,00830264
RPTOMLKLKHJGFBB37CB,乾溝子段,.63,都市：商,100000,233,持分移轉,00790000
RPTOMLKLKHJGFBB37CB,乾溝子段,.39,都市：商,100000,233,持分移轉,00790002
RPTOMLKLKHJGFBB37CB,乾溝子段,.31,都市：商,100000,233,持分移轉,00790003
RPTOMLKLKHJGFBB37CB,乾溝子段,.34,都市：商,100000,233,持分移轉,00790004
RPTOMLKLKHJGFBB37CB,乾溝子段,1.31,都市：商,100000,233,持分移轉,00790006
RPTOMLKLKHJGFBB37CB,乾溝子段,.10,都市：商,100000,233,持分移轉,00790007
RPTOMLKLKHJGFBB37CB,乾溝子段,.06,都市：商,100000,233,持分移轉,00790008
RPTOMLKLKHJGFBB37CB,乾溝子段,.05,都市：商,100000,233,持分移轉,00790009
RPTOMLKLKHJGFBB37CB,乾溝子段,.77,都市：商,100000,233,持分移轉,00800000
RPTOMLKLKHJGFBB37CB,乾溝子段,.01,都市：商,100000,233,持分移轉,00800003
RPTOMLKLKHJGFBB37CB,乾溝子段,.48,都市：商,100000,233,持分移轉,00800009
RPTOMLKLKHJGFBB37CB,乾溝子段,1.17,都市：商,100000,233,持分移轉,00820002
RPTOMLKLKHJGFBB37CB,乾溝子段,.11,都市：商,100000,233,持分移轉,00820008
RPTOMLKLKHJGFBB37CB,乾溝子段,.25,都市：商,100000,233,持分移轉,00820010
RPTOMLKLKHJGFBB37CB,乾溝子段,.04,都市：商,100000,233,持分移轉,00820016
RPTOMLKLKHJGFBB37CB,乾溝子段,.07,都市：商,100000,233,持分移轉,00820256
RPVNMLKLKHJGFCB57CB,三富段,34.47,都市：住,100000,669,持分移轉,00820000
RPTOMLKLKHJGFBB37CB,乾溝子段,.03,都市：商,100000,233,持分移轉,00820257
RPTOMLKLKHJGFBB37CB,乾溝子段,.08,都市：商,100000,233,持分移轉,00820258
RPTOMLKLKHJGFBB37CB,乾溝子段,.04,都市：商,100000,233,持分移轉,00820259
RPTOMLKLKHJGFBB37CB,乾溝子段,.03,都市：商,100000,233,持分移轉,00820260
RPTOMLKLKHJGFBB37CB,乾溝子段,.04,都市：商,100000,233,持分移轉,00820261
RPTOMLKLKHJGFBB37CB,乾溝子段,.14,都市：商,100000,233,持分移轉,00820264
RPTOMLKLKHJGFBB37CB,乾溝子段,.39,都市：商,100000,233,持分移轉,00830004
RPTOMLKLKHJGFBB37CB,乾溝子段,.02,都市：商,100000,233,持分移轉,00830006
RPTOMLKLKHJGFBB37CB,乾溝子段,.16,都市：商,100000,233,持分移轉,00830113
RPTOMLKLKHJGFBB37CB,乾溝子段,.07,都市：商,100000,233,持分移轉,00830249
RPTOMLKLKHJGFBB37CB,乾溝子段,.03,都市：商,100000,233,持分移轉,00830258
RPRPMLKLKHJGFBB27CB,仁平段,6.37,都市：住,100000,827,持分移轉,03580000
RPTOMLKLKHJGFBB37CB,乾溝子段,.01,都市：商,100000,233,持分移轉,00830259
RPTOMLKLKHJGFBB37CB,乾溝子段,.11,都市：商,100000,233,持分移轉,00830262
RPRPMLKLKHJGFBB27CB,仁平段,6.93,都市：住,100000,827,持分移轉,03590000
RPTOMLKLKHJGFBB37CB,乾溝子段,.12,都市：商,100000,233,持分移轉,00830263
RPTOMLKLKHJGFBB37CB,乾溝子段,.01,都市：商,100000,233,持分移轉,00830264
RPRPMLKLKHJGFBB27CB,仁平段,4.63,都市：住,100000,827,持分移轉,03600000
RPRPMLKLKHJGFBB27CB,仁平段,2.39,都市：住,100000,827,持分移轉,03610000
RPRPMLKLKHJGFBB27CB,仁平段,1.76,都市：住,100000,827,持分移轉,03620000
RPRPMLKLKHJGFBB27CB,平田段,7.35,都市：住,100000,827,持分移轉,09530000
RPRPMLKLKHJGFBB27CB,平田段,2.78,都市：住,100000,827,持分移轉,09530007
RPRPMLKLKHJGFBB27CB,平田段,.25,都市：住,100000,827,持分移轉,09580010
RPRPMLKLKHJGFBB27CB,平田段,.17,都市：住,100000,827,持分移轉,09580011
RPRPMLKLKHJGFBB27CB,平田段,.09,都市：住,100000,827,持分移轉,09580012
RPRPMLKLKHJGFBB27CB,平田段,.02,都市：住,100000,827,持分移轉,09580013
RPQOMLKLKHJGFBB07CB,乾溝子段,.82,都市：商,100000,304,持分移轉,00790000
RPQOMLKLKHJGFBB07CB,乾溝子段,.51,都市：商,100000,304,持分移轉,00790002
RPQOMLKLKHJGFBB07CB,乾溝子段,.41,都市：商,100000,304,持分移轉,00790003
RPQOMLKLKHJGFBB07CB,乾溝子段,.45,都市：商,100000,304,持分移轉,00790004
RPQOMLKLKHJGFBB07CB,乾溝子段,1.71,都市：商,100000,304,持分移轉,00790006
RPQOMLKLKHJGFBB07CB,乾溝子段,.13,都市：商,100000,304,持分移轉,00790007
RPQOMLKLKHJGFBB07CB,乾溝子段,.08,都市：商,100000,304,持分移轉,00790008
RPQOMLKLKHJGFBB07CB,乾溝子段,.06,都市：商,100000,304,持分移轉,00790009
RPQOMLKLKHJGFBB07CB,乾溝子段,1.01,都市：商,100000,304,持分移轉,00800000
RPQOMLKLKHJGFBB07CB,乾溝子段,.01,都市：商,100000,304,持分移轉,00800003
RPQOMLKLKHJGFBB07CB,乾溝子段,.63,都市：商,100000,304,持分移轉,00800009
RPQOMLKLKHJGFBB07CB,乾溝子段,1.53,都市：商,100000,304,持分移轉,00820002
RPQOMLKLKHJGFBB07CB,乾溝子段,.14,都市：商,100000,304,持分移轉,00820008
RPQOMLKLKHJGFBB07CB,乾溝子段,.32,都市：商,100000,304,持分移轉,00820010
RPQOMLKLKHJGFBB07CB,乾溝子段,.05,都市：商,100000,304,持分移轉,00820016
RPQOMLKLKHJGFBB07CB,乾溝子段,.09,都市：商,100000,304,持分移轉,00820256
RPQOMLKLKHJGFBB07CB,乾溝子段,.04,都市：商,100000,304,持分移轉,00820257
RPQOMLKLKHJGFBB07CB,乾溝子段,.11,都市：商,100000,304,持分移轉,00820258
RPQOMLKLKHJGFBB07CB,乾溝子段,.05,都市：商,100000,304,持分移轉,00820259
RPQOMLKLKHJGFBB07CB,乾溝子段,.04,都市：商,100000,304,持分移轉,00820260
RPQOMLKLKHJGFBB07CB,乾溝子段,.05,都市：商,100000,304,持分移轉,00820261
RPQOMLKLKHJGFBB07CB,乾溝子段,.18,都市：商,100000,304,持分移轉,00820264
RPQOMLKLKHJGFBB07CB,乾溝子段,.50,都市：商,100000,304,持分移轉,00830004
